PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010500011,-4.26333300000,13.65166800000,Mboma,Bouenza,Congo
CG010500012,-4.22500300000,13.75416400000,Mienge-Mienge,Bouenza,Congo
CG010500013,-4.21861100000,13.76166900000,Bouansa,Bouenza,Congo
CG010500014,-4.21861100000,13.76166900000,Bouenza,Bouenza,Congo
CG010500015,-4.21861100000,13.76166900000,Le Briz,Bouenza,Congo
CG010500016,-4.21861100000,13.76166900000,Moukoukoulou,Bouenza,Congo
CG010500017,-4.21861100000,13.76166900000,Moukoulou,Bouenza,Congo
CG010500018,-4.21861100000,13.76166900000,Moukouloukoulou,Bouenza,Congo
CG010500019,-4.20110800000,13.79500200000,Kimbedi,Bouenza,Congo
CG010500020,-4.27221800000,13.54972500000,Boma,Bouenza,Congo
CG010500021,-4.27221800000,13.54972500000,Mboma,Bouenza,Congo
CG010500022,-4.28888800000,13.49472200000,Kimbonga,Bouenza,Congo
CG010500023,-4.29555200000,13.47138500000,Kingoye,Bouenza,Congo
CG010500024,-4.19416400000,13.78500400000,Kimpanzou,Bouenza,Congo
CG010500025,-4.26666600000,13.54999700000,Kimbonga,Bouenza,Congo
CG010500026,-4.26500200000,13.54527900000,Aubeville,Bouenza,Congo
CG010500027,-4.23388500000,13.62638600000,Nsanga,Bouenza,Congo
CG010500028,-4.21777600000,13.66722300000,Kimdambou-Kaye,Bouenza,Congo
CG010500029,-4.21806000000,13.62750400000,Kiboungou,Bouenza,Congo
CG010500030,-4.18305900000,13.73499700000,Mansoumba,Bouenza,Congo
CG010500031,-4.16999800000,13.71805600000,Makondo-Mabenge,Bouenza,Congo
CG010500032,-4.21444500000,13.55944400000,Nkieni,Bouenza,Congo
CG010500033,-4.20083400000,13.56417100000,Kibounda,Bouenza,Congo
CG010500034,-4.16972600000,13.65833300000,Mandou,Bouenza,Congo
CG010500035,-4.17500300000,13.63444400000,Nkoyi,Bouenza,Congo
CG010500036,-4.17361000000,13.61861000000,Kingoma,Bouenza,Congo
CG010500037,-4.20194000000,13.51250000000,Kingembo,Bouenza,Congo
CG010500038,-4.17777500000,13.56583500000,Kintamba,Bouenza,Congo
CG010500039,-4.20083400000,13.47388600000,Kimbaoka,Bouenza,Congo
CG010500040,-4.17639300000,13.50861200000,Kisende,Bouenza,Congo
CG010500041,-4.16750300000,13.53277800000,Kiniadi,Bouenza,Congo
CG010500042,-4.15360700000,13.54999900000,Madingo,Bouenza,Congo
CG010500043,-4.15360700000,13.54999900000,Madingou,Bouenza,Congo
CG010500044,-4.17472100000,13.47666600000,Kibaka,Bouenza,Congo
CG010500045,-4.16944300000,13.49222300000,Kibounda,Bouenza,Congo
CG010500046,-4.17749700000,13.44416300000,Mpalou,Bouenza,Congo
CG010500047,-4.13916500000,13.55527600000,Soukou-Madingou,Bouenza,Congo
CG010500048,-4.14083400000,13.52861200000,Mbouki,Bouenza,Congo
CG010500049,-4.11555200000,13.53610700000,Mpasa,Bouenza,Congo
CG010500050,-4.10638800000,13.52472100000,Kikiemou,Bouenza,Congo
CG010600051,-4.46861300000,13.86055600000,Kanana,Bouenza,Congo
CG010600052,-4.46221800000,13.84888600000,Kingoye,Bouenza,Congo
CG010600053,-4.44777700000,13.85138700000,Kinganga,Bouenza,Congo
CG010600054,-4.43944700000,13.84000000000,Kindamba,Bouenza,Congo
CG010600055,-4.42194100000,13.89027600000,Kimbenza,Bouenza,Congo
CG010600056,-4.39833100000,13.94500200000,Louanga,Bouenza,Congo
CG010600057,-4.41361500000,13.88750400000,Bisinza,Bouenza,Congo
CG010600058,-4.43055200000,13.82583000000,Bikoumbi,Bouenza,Congo
CG010600059,-4.42055500000,13.84167000000,Londa-Mataba,Bouenza,Congo
CG010600060,-4.38583300000,13.94028000000,Bikoka,Bouenza,Congo
CG010600061,-4.41249700000,13.84833300000,Kilemba,Bouenza,Congo
CG010600062,-4.43389000000,13.76527600000,Kingouala-Mboungou,Bouenza,Congo
CG010600063,-4.37277500000,13.93610800000,Bisai,Bouenza,Congo
CG010600064,-4.36750100000,13.93583600000,Kimoanda,Bouenza,Congo
CG010600065,-4.41749900000,13.77527800000,Kinsoundi,Bouenza,Congo
CG010600066,-4.36333200000,13.93611200000,Kimbobe,Bouenza,Congo
