PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010600057,-4.413615,13.887504,Kimpongi,Bouenza,Congo
CG010600058,-4.430552,13.82583,Nzaou,Bouenza,Congo
CG010600059,-4.420555,13.84167,Pandi I,Bouenza,Congo
CG010600060,-4.385833,13.94028,Pandil,Bouenza,Congo
CG010600061,-4.412497,13.848333,Tsoumbou,Bouenza,Congo
CG010600062,-4.43389,13.765276,Hikolo,Bouenza,Congo
CG010600063,-4.372775,13.936108,Kimbimi,Bouenza,Congo
CG010600064,-4.367501,13.935836,Tsangou,Bouenza,Congo
CG010600065,-4.417499,13.775278,Mangandza,Bouenza,Congo
CG010600066,-4.363332,13.936112,Mangantza,Bouenza,Congo
CG010600067,-4.390559,13.811385,Kimfikou,Bouenza,Congo
CG010600068,-4.368889,13.876667,Matolo,Bouenza,Congo
CG010600069,-4.343888,13.951386,Mouionzi,Bouenza,Congo
CG010600070,-4.393056,13.756386,Mouyondzi,Bouenza,Congo
CG010600071,-4.347774,13.886115,Kinsouari,Bouenza,Congo
CG010600072,-4.349447,13.873614,Kenge,Bouenza,Congo
CG010600073,-4.352777,13.862499,Mpengui,Bouenza,Congo
CG010600074,-4.345277,13.88556,Pengi,Bouenza,Congo
CG010600075,-4.35639,13.84722,Kolo,Bouenza,Congo
CG010600076,-4.371947,13.778615,Kimpeni,Bouenza,Congo
CG010600077,-4.38806,13.727226,Kimperi,Bouenza,Congo
CG010600078,-4.38444,13.736946,Mouleke,Bouenza,Congo
CG010600079,-4.365558,13.782499,Kimpele,Bouenza,Congo
CG010600080,-4.350557,13.81306,Giri,Bouenza,Congo
CG010600081,-4.348055,13.798332,Koso,Bouenza,Congo
CG010600082,-4.365833,13.735274,Dzanga,Bouenza,Congo
CG010600083,-4.314448,13.889443,Belo,Bouenza,Congo
CG010600084,-4.30722,13.907781,Youkoy,Bouenza,Congo
CG010600085,-4.308059,13.875558,Kinsoko,Bouenza,Congo
CG010600086,-4.3075,13.852502,Kingouala,Bouenza,Congo
CG010600087,-4.326386,13.77694,Mousenge,Bouenza,Congo
CG010600088,-4.29611,13.850834,Louboto,Bouenza,Congo
CG010600089,-4.334444,13.722226,Mbounou,Bouenza,Congo
CG010600090,-4.305557,13.788884,Moubiri,Bouenza,Congo
CG010600091,-4.323885,13.730281,Makoungou,Bouenza,Congo
CG010600092,-4.283889,13.856114,Kitoumba,Bouenza,Congo
CG010600093,-4.283889,13.856114,Mangoufou,Bouenza,Congo
CG010600094,-4.300281,13.781667,Sonel-Louamba,Bouenza,Congo
CG010600095,-4.300281,13.781667,Kidamba Ngosi,Bouenza,Congo
CG010700001,-4.037774,14.052499,Founvou,Bouenza,Congo
CG010700002,-4.05333,13.941109,Kimbonga-Louamba,Bouenza,Congo
CG010700003,-4.04889,13.955833,Kilounga,Bouenza,Congo
CG010700004,-4.022498,14.016108,Kimpalanga,Bouenza,Congo
CG010700005,-4.022498,14.016108,Dakar,Bouenza,Congo
CG010700006,-4.025281,14.006386,Daker,Bouenza,Congo
CG010700007,-4.034997,13.935557,Moandangoma,Bouenza,Congo
CG010700008,-4.00806,14.022223,Kimpambou-Loukelo,Bouenza,Congo
CG010700009,-4.011393,13.981389,Jacob,Bouenza,Congo
CG010700010,-4.023058,13.936671,Kai,Bouenza,Congo
CG010700011,-4.00639,13.981107,Kaye,Bouenza,Congo
CG010700012,-4.00639,13.981107,Kayes,Bouenza,Congo
CG010700013,-3.991671,14.016667,Nkayi,Bouenza,Congo
CG010700014,-4.001663,13.976943,Kimpambou,Bouenza,Congo
CG010700015,-4.00667,13.952221,Ntandou,Bouenza,Congo
CG010700016,-3.981665,14.030001,Kimbanda,Bouenza,Congo
CG010700017,-4.012775,13.903611,Kandou,Bouenza,Congo
CG010700018,-3.968336,14.049165,Moutela,Bouenza,Congo
CG010700019,-3.968336,14.049165,Kimbenze,Bouenza,Congo
CG010700020,-4.018886,13.861666,Youiounkoye,Bouenza,Congo
CG010700021,-4.012776,13.877779,Kiosi,Bouenza,Congo
